feature,importance
price_lag_1,0.015872258692979813
price_lag_2,0.014106537215411663
price_lag_5,0.023088106885552406
price_lag_10,0.021114524453878403
price_lag_20,0.02026022970676422
return_lag_1,0.025017494335770607
rolling_mean_5,0.032120611518621445
rolling_std_5,0.024560557678341866
momentum_5,0.029291873797774315
rolling_mean_20,0.04152397811412811
rolling_std_20,0.040439385920763016
momentum_20,0.03466198965907097
day_of_week,0.025643544271588326
month,0.025235334411263466
exog_dollar_index,0.04997310787439346
exog_dollar_index_lag_1,0.051881417632102966
exog_silver,0.08888524770736694
exog_silver_lag_1,0.1367817372083664
exog_oil,0.03529989346861839
exog_oil_lag_1,0.032209642231464386
exog_sp500,0.03326654061675072
exog_sp500_lag_1,0.032121699303388596
exog_vix,0.04885580763220787
exog_vix_lag_1,0.048497192561626434
exog_bitcoin,0.03532985970377922
exog_bitcoin_lag_1,0.03396134451031685
