number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,128.79471353728601,2026-07-22 23:20:11.898855,2026-07-22 23:20:35.938983,0 days 00:00:24.040128,0.5780093202212182,0.2536999076681772,5,466,0.7993292420985183,COMPLETE
1,123.42138207225055,2026-07-22 23:20:35.969938,2026-07-22 23:21:01.243126,0 days 00:00:25.273188,0.8540362888980227,0.012184186502221764,4,533,0.8005575058716043,COMPLETE
2,177.11763074225018,2026-07-22 23:21:01.269509,2026-07-22 23:21:20.100088,0 days 00:00:18.830579,0.5909124836035503,0.2708160864249968,3,517,0.6061695553391381,COMPLETE
3,113.0844778777906,2026-07-22 23:21:20.125410,2026-07-22 23:21:35.826447,0 days 00:00:15.701037,0.645614570099021,0.028145092716060652,4,362,0.7159725093210578,COMPLETE
4,120.86081417304558,2026-07-22 23:21:35.850917,2026-07-22 23:21:56.363190,0 days 00:00:20.512273,0.728034992108518,0.01607123851203988,7,246,0.6831809216468459,COMPLETE
5,125.21033274331292,2026-07-22 23:21:56.390984,2026-07-22 23:22:33.402481,0 days 00:00:37.011497,0.5232252063599989,0.019721610970574007,9,357,0.7962072844310213,COMPLETE
6,96.63659199321533,2026-07-22 23:22:33.428491,2026-07-22 23:22:48.452670,0 days 00:00:15.024179,0.9828160165372797,0.0178601378893971,7,132,0.9744427686266666,COMPLETE
7,109.7205744331687,2026-07-22 23:22:48.478447,2026-07-22 23:23:08.771112,0 days 00:00:20.292665,0.7200762468698007,0.028180680291847244,9,148,0.8421165132560784,COMPLETE
8,120.72967457106756,2026-07-22 23:23:08.804464,2026-07-22 23:23:17.657416,0 days 00:00:08.852952,0.6293899908000085,0.05388108577817234,3,117,0.954660201039391,COMPLETE
9,113.2673241901263,2026-07-22 23:23:17.682143,2026-07-22 23:23:48.406575,0 days 00:00:30.724432,0.5924272277627636,0.028869220380495747,8,360,0.7733551396716398,COMPLETE
10,167.0036293534179,2026-07-22 23:23:48.431710,2026-07-22 23:24:07.035677,0 days 00:00:18.603967,0.9883832207856137,0.10809366764261572,6,238,0.5089809378074099,COMPLETE
11,78.47801677580077,2026-07-22 23:24:07.072067,2026-07-22 23:24:26.285132,0 days 00:00:19.213065,0.9946994595670489,0.04773810256128752,10,103,0.9903324566798157,COMPLETE
12,84.16252651013727,2026-07-22 23:24:26.316910,2026-07-22 23:24:56.191926,0 days 00:00:29.875016,0.9982404037500866,0.060421236823357635,10,194,0.9974985995449137,COMPLETE
13,106.27745931406601,2026-07-22 23:24:56.222041,2026-07-22 23:25:25.434017,0 days 00:00:29.211976,0.896686411503327,0.07027814475850294,10,218,0.9112320253004815,COMPLETE
14,117.89830191028366,2026-07-22 23:25:25.468499,2026-07-22 23:25:53.387923,0 days 00:00:27.919424,0.8859620061900355,0.06019957437242851,10,193,0.8947385331597324,COMPLETE
15,87.74912076974228,2026-07-22 23:25:53.414274,2026-07-22 23:26:15.493358,0 days 00:00:22.079084,0.940880748419159,0.13811269358793526,10,290,0.9954471356454574,COMPLETE
16,106.1470758658818,2026-07-22 23:26:15.521812,2026-07-22 23:26:38.848500,0 days 00:00:23.326688,0.8268955937425837,0.04377258077302569,9,174,0.9048237282549556,COMPLETE
17,86.54357505584343,2026-07-22 23:26:38.874742,2026-07-22 23:26:52.671766,0 days 00:00:13.797024,0.93677757165193,0.09207155733085277,8,106,0.9975599500032767,COMPLETE
18,100.74923208517997,2026-07-22 23:26:52.696784,2026-07-22 23:27:13.186231,0 days 00:00:20.489447,0.7915433214049242,0.16485350899054652,10,293,0.9271502395940154,COMPLETE
19,125.15268939739524,2026-07-22 23:27:13.212159,2026-07-22 23:27:34.392638,0 days 00:00:21.180479,0.9394465129049373,0.07428625740419656,8,175,0.853467832034665,COMPLETE
20,93.75085838600856,2026-07-22 23:27:34.462071,2026-07-22 23:28:08.623883,0 days 00:00:34.161812,0.9944997591576724,0.037702143087438106,9,283,0.9463138213542696,COMPLETE
21,82.15495711344866,2026-07-22 23:28:08.653430,2026-07-22 23:28:22.007032,0 days 00:00:13.353602,0.9301447075297408,0.10143320994303344,8,101,0.9900223563765412,COMPLETE
22,85.86253004802204,2026-07-22 23:28:22.040725,2026-07-22 23:28:35.267918,0 days 00:00:13.227193,0.9167101226884998,0.10212400219249353,7,106,0.9959777298901646,COMPLETE
23,120.40868288589984,2026-07-22 23:28:35.293981,2026-07-22 23:28:56.014384,0 days 00:00:20.720403,0.9623975987710953,0.04449888942901757,9,157,0.8674517414540348,COMPLETE
24,88.04113718648517,2026-07-22 23:28:56.040161,2026-07-22 23:29:11.137366,0 days 00:00:15.097205,0.8459455163286645,0.15013971957309108,8,202,0.9388678188396311,COMPLETE
