model,horizon,mae,rmse,mase,smape,directional_accuracy
chronos2,1,39.9766845703125,46.27523286427863,3.8550871204147503,0.9473701275830863,0.9090909090909091
sarimax,1,40.3677318611437,53.09019936849209,3.8927971354037365,0.9416799612354455,1.0
xgboost_diff,1,48.06063181797705,71.87991567686296,4.634649539148372,1.1406045715137691,0.9090909090909091
naive,1,50.324991861979164,85.43798725118995,4.853009449066888,1.169390223847318,1.0
sarima,1,51.16498300035388,87.31260145660245,5.943196600025095,1.1833175770776323,1.0
chronos_t5_large,1,60.99723307291671,94.87658657149558,7.085286204578422,1.408908329908603,0.9090909090909091
moving_average,1,89.2396158854167,107.7717457332694,8.605678473049528,2.1371434812149213,1.0
tft,1,101.1260786783854,138.77095283486787,9.751930347435632,2.420994265808502,0.8181818181818182
patchtst,1,126.11870445963537,159.94371503595826,14.64963362811809,3.1873340706683515,0.9090909090909091
xgboost,1,1565.5181884765625,1625.787375369212,150.968222353609,45.145412868023676,0.2727272727272727
chronos2,10,139.199462890625,161.9884257352089,13.423475766592432,3.253151482663149,0.8181818181818182
sarimax,10,159.0243479958085,195.5193191342985,15.335256597198159,3.7043357927284872,0.9090909090909091
chronos_t5_large,10,174.21520487467447,236.20401266394856,20.236402957012206,4.0465026995804525,0.8181818181818182
sarima,10,202.787757084755,252.67303795271985,23.55531923902906,4.694016374031546,0.7272727272727273
naive,10,203.00004069010416,235.9662758166163,19.575981618276888,4.7614971748036465,0.7272727272727273
xgboost_diff,10,206.50560613823131,251.99469448982464,19.914035170093488,5.065157131450927,0.6363636363636364
moving_average,10,213.03877360026044,267.6136016202923,20.544050640588125,4.955259869146659,0.5454545454545454
tft,10,225.0894205403646,291.0068436415388,21.706135348482096,5.3213996247381665,0.6363636363636364
patchtst,10,262.423204654948,331.9830308663324,30.482423841755004,6.131057470534638,0.7272727272727273
xgboost,10,1596.700459798177,1647.2423949663653,153.97523441199527,46.25343229718302,0.18181818181818182
chronos2,20,190.8167724609375,228.49259494679038,18.40110779020317,4.393862782294648,0.7272727272727273
chronos_t5_large,20,247.50635681152332,298.1741381635938,28.749720062970983,5.74263484034686,0.7272727272727273
naive,20,266.52496337890625,323.91744069852615,25.701905113813762,6.297719817803762,0.0
sarimax,20,273.98249207990017,335.9029158508582,26.421059870000693,6.069135797742059,0.5454545454545454
sarima,20,278.6347617089462,335.45670571004416,32.365517807871804,6.41353984254189,0.5454545454545454
moving_average,20,289.9753784179688,378.8600263196146,27.96330807799568,6.844480280546624,0.36363636363636365
tft,20,293.3063343098958,431.28676211874296,28.2845234387906,6.984003320263196,0.5454545454545454
patchtst,20,312.60796783854164,358.3389593188721,36.31176055674493,7.478390588409525,0.45454545454545453
xgboost_diff,20,325.7737585570188,430.84258869085323,31.4154671474411,8.045684835177902,0.45454545454545453
xgboost,20,1674.7178955078125,1732.0802672778593,161.49872003379582,47.914012395391445,0.45454545454545453
chronos2,complete,119.6054453531901,161.8376180360432,11.53395827764486,2.7407358280568,0.5690376569037657
sarimax,complete,145.07937637331855,206.8303315950849,13.990495742859258,3.2947848938016415,0.5899581589958159
chronos_t5_large,complete,169.59880269368486,233.23921229947055,19.70017321280969,3.9042878977794784,0.4560669456066946
naive,complete,186.03919881184896,237.4071250824111,17.940390178440246,4.31879725396709,0.4100418410041841
sarima,complete,189.5345681597517,248.60806267331768,22.01586192389568,4.338789886003213,0.4225941422594142
xgboost_diff,complete,206.75770937531394,273.9980962967431,19.93834633928469,5.008770992718106,0.45188284518828453
moving_average,complete,214.7541666666667,287.2409653879423,20.709471805145192,4.966133901572862,0.4602510460251046
tft,complete,224.84588828450524,333.3817607735548,21.682650708045802,5.269978842520902,0.48535564853556484
patchtst,complete,251.13622916666662,317.5822122741265,29.171356967247167,5.95025938467208,0.4476987447698745
xgboost,complete,1625.1470438639324,1682.7292266447241,156.7184348807287,46.745797259963936,0.4351464435146444
