model,horizon,mae,rmse,mase,smape,directional_accuracy
naive,1,50.324991861979164,85.43798725118995,5.845625327938377,1.169390223847318,1.0
sarima,1,51.16498300035388,87.31260145660245,5.943196600025095,1.1833175770776323,1.0
chronos_t5_base,1,56.008326212565066,88.38118412762684,6.5057872474483345,1.3034887179345425,0.9090909090909091
chronos_original,1,57.00872395833331,93.27220786125311,6.621990950306625,1.3119488249505769,1.0
chronos_t5_large,1,60.99723307291674,94.87658657149558,7.085286204578426,1.4089083299086038,0.9090909090909091
chronos_bolt_base,1,64.0629724573206,108.93821882057009,7.44139483234492,1.4643487289861854,0.9090909090909091
chronos_bolt,1,69.03366427951373,117.8411334241071,8.018777976149082,1.568647728599487,0.9090909090909091
moving_average,1,89.2396158854167,107.7717457332694,10.36585083423336,2.1371434812149213,1.0
patchtst,1,126.11870445963537,159.94371503595826,14.64963362811809,3.1873340706683515,0.9090909090909091
chronos_t5_large,2,62.64654541015625,101.04884405974057,7.2768662052009905,1.453303773173188,0.8181818181818182
naive,2,62.983378092447914,102.11708773639549,7.315991848068092,1.465914329258448,0.9090909090909091
chronos_bolt_base,2,64.58252857349528,113.07808832426218,7.501745172794565,1.499291210698969,0.8181818181818182
sarima,2,64.68897214134161,103.80088475070004,7.514109391708005,1.4926404678736873,0.8181818181818182
chronos_original,2,68.67388203938803,104.34632273293789,7.976986569978778,1.5940809010293433,0.8181818181818182
chronos_t5_base,2,70.16540832519536,107.75041265647685,8.150238537063315,1.639126403477162,0.9090909090909091
chronos_bolt,2,81.93785264756941,124.01511225625039,9.517696258494283,1.871134328892854,0.9090909090909091
moving_average,2,99.32126871744792,134.3115012016118,11.536910440244505,2.2828403104841684,0.8181818181818182
patchtst,2,156.84841608072907,190.3613431799731,18.219120158094512,3.8263538183546864,0.5454545454545454
naive,3,102.95003255208333,151.35777637953674,11.958418581547903,2.3309462953677045,0.9090909090909091
chronos_bolt_base,3,104.45228633174194,162.0584671359279,12.132916627517746,2.363810147415563,0.7272727272727273
sarima,3,106.40998154501244,160.61728593839828,12.360317612588222,2.3965053853610874,0.9090909090909091
chronos_original,3,111.40925089518225,169.38032826794347,12.941020250647016,2.481716313952713,0.9090909090909091
chronos_t5_large,3,115.0019165039062,163.05108669312042,13.35833531221261,2.5813137775132677,0.8181818181818182
chronos_bolt,3,115.55496328848385,165.8582532785714,13.422575845034325,2.600661412630395,0.9090909090909091
chronos_t5_base,3,115.85880330403643,164.47812110105096,13.457869142158476,2.6220721391986976,0.9090909090909091
moving_average,3,154.67122395833334,213.92495331564177,17.9662229604284,3.4983514102096716,0.9090909090909091
patchtst,3,195.2578798502603,262.96053942900255,22.680667511335816,4.651619944696486,0.7272727272727273
naive,4,121.17502848307292,172.98958765587298,14.075388577448798,2.7491517091932844,0.9090909090909091
chronos_t5_base,4,121.87180379231772,179.32626528851358,14.156324256619385,2.75818305243993,0.8181818181818182
chronos_original,4,123.72509155273424,191.05188115187295,14.371597532807113,2.749687570487719,0.8181818181818182
chronos_bolt_base,4,124.7490596064816,182.8068897486216,14.49053910375464,2.8075594870800074,0.7272727272727273
sarima,4,125.27713050052505,182.70776488880585,14.551878499529082,2.8194571315158257,0.9090909090909091
chronos_t5_large,4,128.1375457763671,189.8533306672877,14.884137191805529,2.8911689836022862,0.8181818181818182
chronos_bolt,4,129.60273121021407,180.74997774285555,15.05432947133361,2.915832432790897,0.9090909090909091
