step,origin,lead_time,date,actual,predicted
0,2022-12-13,1,2022-12-14,89.92182688923423,85.3838
0,2022-12-13,2,2022-12-15,90.44565783986201,85.51402
0,2022-12-13,3,2022-12-16,88.24514163066125,85.501175
0,2022-12-13,4,2022-12-19,89.40340424391165,85.38443
0,2022-12-13,5,2022-12-20,89.1932594757313,85.42834
0,2022-12-13,6,2022-12-21,88.10650745630535,85.52939
0,2022-12-13,7,2022-12-22,88.82851375763865,85.52042
0,2022-12-13,8,2022-12-23,89.49894571858906,85.42975
0,2022-12-13,9,2022-12-26,88.55204285485492,85.53104
0,2022-12-13,10,2022-12-27,91.1089972931938,85.609146
0,2022-12-13,11,2022-12-28,89.97202617140132,85.60618
0,2022-12-13,12,2022-12-29,88.29963396194616,85.49705
0,2022-12-13,13,2022-12-30,87.19387660325128,85.58404
0,2022-12-13,14,2023-01-02,88.65077307646345,85.646576
0,2022-12-13,15,2023-01-03,88.49860532102369,85.6896
0,2022-12-13,16,2023-01-04,88.1377707332922,85.50517
0,2022-12-13,17,2023-01-05,88.0743401927226,85.61029
0,2022-12-13,18,2023-01-06,87.46396172720276,85.639305
0,2022-12-13,19,2023-01-09,86.74747642233046,85.612595
0,2022-12-13,20,2023-01-10,86.06764724411087,85.402664
1,2023-01-10,1,2023-01-11,86.72469380439664,87.709015
1,2023-01-10,2,2023-01-12,87.68207269401421,87.20762
1,2023-01-10,3,2023-01-13,86.55189276274517,87.41862
1,2023-01-10,4,2023-01-16,86.70421067128362,87.46222
1,2023-01-10,5,2023-01-17,87.39390238531517,87.58058
1,2023-01-10,6,2023-01-18,86.20227568208611,87.003555
1,2023-01-10,7,2023-01-19,85.57874973950318,87.27925
1,2023-01-10,8,2023-01-20,84.40894396516586,87.3241
1,2023-01-10,9,2023-01-23,82.9757208340817,87.40582
1,2023-01-10,10,2023-01-24,82.92529155118096,86.88745
1,2023-01-10,11,2023-01-25,82.02715011560338,87.1159
1,2023-01-10,12,2023-01-26,82.48695816623164,87.05102
1,2023-01-10,13,2023-01-27,82.27733144420522,87.16967
1,2023-01-10,14,2023-01-30,82.50132065725398,86.88364
1,2023-01-10,15,2023-01-31,82.01243775684728,86.81777
1,2023-01-10,16,2023-02-01,81.17336993842304,86.96315
1,2023-01-10,17,2023-02-02,80.87166598924439,87.10441
1,2023-01-10,18,2023-02-03,80.64920613379171,86.7593
1,2023-01-10,19,2023-02-06,79.71999754905485,86.67559
1,2023-01-10,20,2023-02-07,79.91790881530609,86.84552
2,2023-02-07,1,2023-02-08,80.43105997516072,85.0412
2,2023-02-07,2,2023-02-09,80.35152296477206,84.13108
2,2023-02-07,3,2023-02-10,81.82381204349556,84.61718
2,2023-02-07,4,2023-02-13,80.94729200891739,85.33492
2,2023-02-07,5,2023-02-14,81.22133851243684,84.88716
2,2023-02-07,6,2023-02-15,80.56430115385803,84.44031
2,2023-02-07,7,2023-02-16,80.549496083197,84.81641
2,2023-02-07,8,2023-02-17,79.46960360952495,85.40203
2,2023-02-07,9,2023-02-20,80.33490002071345,84.703186
2,2023-02-07,10,2023-02-21,80.26183456551614,84.56656
2,2023-02-07,11,2023-02-22,81.20635589553726,84.94847
2,2023-02-07,12,2023-02-23,79.69451951947605,85.19026
2,2023-02-07,13,2023-02-24,78.95786010537117,84.52578
2,2023-02-07,14,2023-02-27,77.82535442840762,84.60876
2,2023-02-07,15,2023-02-28,77.05727673938262,84.79656
2,2023-02-07,16,2023-03-01,76.13292548799751,84.89974
