step,origin,lead_time,date,actual,predicted
0,2022-12-13,1,2022-12-14,89.92182688923423,84.7002
0,2022-12-13,2,2022-12-15,90.44565783986201,84.79031
0,2022-12-13,3,2022-12-16,88.24514163066125,84.69299
0,2022-12-13,4,2022-12-19,89.40340424391165,84.838905
0,2022-12-13,5,2022-12-20,89.1932594757313,84.79432
0,2022-12-13,6,2022-12-21,88.10650745630535,85.02461
0,2022-12-13,7,2022-12-22,88.82851375763865,84.88423
0,2022-12-13,8,2022-12-23,89.49894571858906,85.15094
0,2022-12-13,9,2022-12-26,88.55204285485492,85.12706
0,2022-12-13,10,2022-12-27,91.1089972931938,85.396324
0,2022-12-13,11,2022-12-28,89.97202617140132,85.17764
0,2022-12-13,12,2022-12-29,88.29963396194616,85.44092
0,2022-12-13,13,2022-12-30,87.19387660325128,85.32019
0,2022-12-13,14,2023-01-02,88.65077307646345,85.62216
0,2022-12-13,15,2023-01-03,88.49860532102369,85.2826
0,2022-12-13,16,2023-01-04,88.1377707332922,85.58933
0,2022-12-13,17,2023-01-05,88.0743401927226,85.317955
0,2022-12-13,18,2023-01-06,87.46396172720276,85.555145
0,2022-12-13,19,2023-01-09,86.74747642233046,85.11297
0,2022-12-13,20,2023-01-10,86.06764724411087,85.31528
1,2023-01-10,1,2023-01-11,86.72469380439664,88.810905
1,2023-01-10,2,2023-01-12,87.68207269401421,88.76653
1,2023-01-10,3,2023-01-13,86.55189276274517,88.6589
1,2023-01-10,4,2023-01-16,86.70421067128362,88.98844
1,2023-01-10,5,2023-01-17,87.39390238531517,88.61619
1,2023-01-10,6,2023-01-18,86.20227568208611,88.62909
1,2023-01-10,7,2023-01-19,85.57874973950318,88.34296
1,2023-01-10,8,2023-01-20,84.40894396516586,88.79658
1,2023-01-10,9,2023-01-23,82.9757208340817,88.19327
1,2023-01-10,10,2023-01-24,82.92529155118096,88.35563
1,2023-01-10,11,2023-01-25,82.02715011560338,88.03175
1,2023-01-10,12,2023-01-26,82.48695816623164,88.366714
1,2023-01-10,13,2023-01-27,82.27733144420522,87.8891
1,2023-01-10,14,2023-01-30,82.50132065725398,88.04225
1,2023-01-10,15,2023-01-31,82.01243775684728,87.902115
1,2023-01-10,16,2023-02-01,81.17336993842304,88.33651
1,2023-01-10,17,2023-02-02,80.87166598924439,87.914986
1,2023-01-10,18,2023-02-03,80.64920613379171,88.077156
1,2023-01-10,19,2023-02-06,79.71999754905485,87.69861
