step,origin,lead_time,date,actual,predicted
0,2022-12-13,1,2022-12-14,89.92182688923423,84.071976
0,2022-12-13,2,2022-12-15,90.44565783986201,84.15777
0,2022-12-13,3,2022-12-16,88.24514163066125,84.12348
0,2022-12-13,4,2022-12-19,89.40340424391165,84.11621
0,2022-12-13,5,2022-12-20,89.1932594757313,84.15944
0,2022-12-13,6,2022-12-21,88.10650745630535,84.177185
0,2022-12-13,7,2022-12-22,88.82851375763865,84.24682
0,2022-12-13,8,2022-12-23,89.49894571858906,84.28207
0,2022-12-13,9,2022-12-26,88.55204285485492,84.38439
0,2022-12-13,10,2022-12-27,91.1089972931938,84.43745
0,2022-12-13,11,2022-12-28,89.97202617140132,84.550064
0,2022-12-13,12,2022-12-29,88.29963396194616,84.616455
0,2022-12-13,13,2022-12-30,87.19387660325128,84.72453
0,2022-12-13,14,2023-01-02,88.65077307646345,84.77641
0,2022-12-13,15,2023-01-03,88.49860532102369,84.89574
0,2022-12-13,16,2023-01-04,88.1377707332922,84.94636
0,2022-12-13,17,2023-01-05,88.0743401927226,85.0354
0,2022-12-13,18,2023-01-06,87.46396172720276,85.05876
0,2022-12-13,19,2023-01-09,86.74747642233046,85.099335
0,2022-12-13,20,2023-01-10,86.06764724411087,85.08542
1,2023-01-10,1,2023-01-11,86.72469380439664,87.58038
1,2023-01-10,2,2023-01-12,87.68207269401421,87.462395
1,2023-01-10,3,2023-01-13,86.55189276274517,87.63819
1,2023-01-10,4,2023-01-16,86.70421067128362,87.553955
1,2023-01-10,5,2023-01-17,87.39390238531517,87.659615
1,2023-01-10,6,2023-01-18,86.20227568208611,87.5608
1,2023-01-10,7,2023-01-19,85.57874973950318,87.62041
1,2023-01-10,8,2023-01-20,84.40894396516586,87.4624
1,2023-01-10,9,2023-01-23,82.9757208340817,87.56634
1,2023-01-10,10,2023-01-24,82.92529155118096,87.4115
1,2023-01-10,11,2023-01-25,82.02715011560338,87.51759
1,2023-01-10,12,2023-01-26,82.48695816623164,87.349304
1,2023-01-10,13,2023-01-27,82.27733144420522,87.38148
1,2023-01-10,14,2023-01-30,82.50132065725398,87.23508
1,2023-01-10,15,2023-01-31,82.01243775684728,87.304565
1,2023-01-10,16,2023-02-01,81.17336993842304,87.21398
1,2023-01-10,17,2023-02-02,80.87166598924439,87.212074
1,2023-01-10,18,2023-02-03,80.64920613379171,87.17334
1,2023-01-10,19,2023-02-06,79.71999754905485,87.16489
1,2023-01-10,20,2023-02-07,79.91790881530609,87.07533
2,2023-02-07,1,2023-02-08,80.43105997516072,85.23218
2,2023-02-07,2,2023-02-09,80.35152296477206,84.99376
2,2023-02-07,3,2023-02-10,81.82381204349556,85.05953
2,2023-02-07,4,2023-02-13,80.94729200891739,85.09071
2,2023-02-07,5,2023-02-14,81.22133851243684,85.03517
2,2023-02-07,6,2023-02-15,80.56430115385803,85.002556
2,2023-02-07,7,2023-02-16,80.549496083197,84.87218
2,2023-02-07,8,2023-02-17,79.46960360952495,84.90203
2,2023-02-07,9,2023-02-20,80.33490002071345,84.78648
2,2023-02-07,10,2023-02-21,80.26183456551614,84.83003
2,2023-02-07,11,2023-02-22,81.20635589553726,84.76039
2,2023-02-07,12,2023-02-23,79.69451951947605,84.81193
2,2023-02-07,13,2023-02-24,78.95786010537117,84.706345
2,2023-02-07,14,2023-02-27,77.82535442840762,84.7041
2,2023-02-07,15,2023-02-28,77.05727673938262,84.62399
2,2023-02-07,16,2023-03-01,76.13292548799751,84.669334
2,2023-02-07,17,2023-03-02,75.78561650224196,84.54249
2,2023-02-07,18,2023-03-03,75.54714161180702,84.61292
2,2023-02-07,19,2023-03-06,75.29102225931815,84.57
2,2023-02-07,20,2023-03-07,74.52699488110835,84.658394
3,2023-03-07,1,2023-03-08,74.51306868756866,81.834854
3,2023-03-07,2,2023-03-09,75.19498821850759,81.994835
3,2023-03-07,3,2023-03-10,74.10715623379964,81.948204
3,2023-03-07,4,2023-03-13,73.9310917803664,82.25376
3,2023-03-07,5,2023-03-14,73.68911344357987,81.93395
3,2023-03-07,6,2023-03-15,73.99902594219209,82.257645
3,2023-03-07,7,2023-03-16,73.7865865566298,81.95389
3,2023-03-07,8,2023-03-17,73.63257366169188,82.302956
3,2023-03-07,9,2023-03-20,72.51370829574452,82.02199
3,2023-03-07,10,2023-03-21,72.41854041612677,82.3512
3,2023-03-07,11,2023-03-22,71.39097419162324,82.097015
