step,origin,lead_time,date,actual,predicted
0,2022-12-13,1,2022-12-14,89.92182688923423,83.773544
0,2022-12-13,2,2022-12-15,90.44565783986201,83.838066
0,2022-12-13,3,2022-12-16,88.24514163066125,84.00987
0,2022-12-13,4,2022-12-19,89.40340424391165,84.053795
0,2022-12-13,5,2022-12-20,89.1932594757313,84.07898
0,2022-12-13,6,2022-12-21,88.10650745630535,84.04298
0,2022-12-13,7,2022-12-22,88.82851375763865,84.237946
0,2022-12-13,8,2022-12-23,89.49894571858906,84.20145
0,2022-12-13,9,2022-12-26,88.55204285485492,84.19372
0,2022-12-13,10,2022-12-27,91.1089972931938,84.18583
0,2022-12-13,11,2022-12-28,89.97202617140132,84.41933
0,2022-12-13,12,2022-12-29,88.29963396194616,84.39577
0,2022-12-13,13,2022-12-30,87.19387660325128,84.41362
0,2022-12-13,14,2023-01-02,88.65077307646345,84.39349
0,2022-12-13,15,2023-01-03,88.49860532102369,84.64649
0,2022-12-13,16,2023-01-04,88.1377707332922,84.6179
0,2022-12-13,17,2023-01-05,88.0743401927226,84.65419
0,2022-12-13,18,2023-01-06,87.46396172720276,84.62334
0,2022-12-13,19,2023-01-09,86.74747642233046,84.8625
0,2022-12-13,20,2023-01-10,86.06764724411087,84.83061
1,2023-01-10,1,2023-01-11,86.72469380439664,87.98833
1,2023-01-10,2,2023-01-12,87.68207269401421,87.7187
1,2023-01-10,3,2023-01-13,86.55189276274517,87.98502
1,2023-01-10,4,2023-01-16,86.70421067128362,87.691795
1,2023-01-10,5,2023-01-17,87.39390238531517,87.94706
1,2023-01-10,6,2023-01-18,86.20227568208611,87.80389
1,2023-01-10,7,2023-01-19,85.57874973950318,87.94198
1,2023-01-10,8,2023-01-20,84.40894396516586,87.62318
1,2023-01-10,9,2023-01-23,82.9757208340817,87.8712
1,2023-01-10,10,2023-01-24,82.92529155118096,87.685616
1,2023-01-10,11,2023-01-25,82.02715011560338,87.841194
1,2023-01-10,12,2023-01-26,82.48695816623164,87.57072
1,2023-01-10,13,2023-01-27,82.27733144420522,87.66307
1,2023-01-10,14,2023-01-30,82.50132065725398,87.5757
1,2023-01-10,15,2023-01-31,82.01243775684728,87.63587
1,2023-01-10,16,2023-02-01,81.17336993842304,87.51835
1,2023-01-10,17,2023-02-02,80.87166598924439,87.482765
1,2023-01-10,18,2023-02-03,80.64920613379171,87.55188
1,2023-01-10,19,2023-02-06,79.71999754905485,87.5066
1,2023-01-10,20,2023-02-07,79.91790881530609,87.41237
2,2023-02-07,1,2023-02-08,80.43105997516072,85.32719
2,2023-02-07,2,2023-02-09,80.35152296477206,85.0318
2,2023-02-07,3,2023-02-10,81.82381204349556,85.160995
2,2023-02-07,4,2023-02-13,80.94729200891739,84.956314
2,2023-02-07,5,2023-02-14,81.22133851243684,85.0871
2,2023-02-07,6,2023-02-15,80.56430115385803,85.39147
2,2023-02-07,7,2023-02-16,80.549496083197,85.1333
2,2023-02-07,8,2023-02-17,79.46960360952495,85.12434
2,2023-02-07,9,2023-02-20,80.33490002071345,84.875694
2,2023-02-07,10,2023-02-21,80.26183456551614,85.29645
2,2023-02-07,11,2023-02-22,81.20635589553726,85.11175
2,2023-02-07,12,2023-02-23,79.69451951947605,85.086105
2,2023-02-07,13,2023-02-24,78.95786010537117,84.84976
2,2023-02-07,14,2023-02-27,77.82535442840762,85.14382
2,2023-02-07,15,2023-02-28,77.05727673938262,84.97109
2,2023-02-07,16,2023-03-01,76.13292548799751,84.978485
2,2023-02-07,17,2023-03-02,75.78561650224196,84.774475
2,2023-02-07,18,2023-03-03,75.54714161180702,85.09904
2,2023-02-07,19,2023-03-06,75.29102225931815,85.08306
2,2023-02-07,20,2023-03-07,74.52699488110835,85.109436
3,2023-03-07,1,2023-03-08,74.51306868756866,81.108055
3,2023-03-07,2,2023-03-09,75.19498821850759,81.518196
3,2023-03-07,3,2023-03-10,74.10715623379964,81.2566
3,2023-03-07,4,2023-03-13,73.9310917803664,81.82145
3,2023-03-07,5,2023-03-14,73.68911344357987,81.2498
3,2023-03-07,6,2023-03-15,73.99902594219209,82.5894
3,2023-03-07,7,2023-03-16,73.7865865566298,81.855576
3,2023-03-07,8,2023-03-17,73.63257366169188,82.674576
3,2023-03-07,9,2023-03-20,72.51370829574452,81.58569
3,2023-03-07,10,2023-03-21,72.41854041612677,82.81183
3,2023-03-07,11,2023-03-22,71.39097419162324,82.27969
3,2023-03-07,12,2023-03-23,71.81245083735587,82.84514
3,2023-03-07,13,2023-03-24,71.62669395334416,81.868
3,2023-03-07,14,2023-03-27,71.59591037582926,82.699524
3,2023-03-07,15,2023-03-28,70.64615053640324,82.44043
3,2023-03-07,16,2023-03-29,71.40355755998148,82.642365
3,2023-03-07,17,2023-03-30,72.06185568077447,82.14208
3,2023-03-07,18,2023-03-31,72.90178361166465,82.64371
3,2023-03-07,19,2023-04-03,75.12004746314618,82.80333
3,2023-03-07,20,2023-04-04,75.07090242097223,82.74475
4,2023-04-04,1,2023-04-05,76.29016773235695,78.73021
4,2023-04-04,2,2023-04-06,76.19465088903983,78.79889
4,2023-04-04,3,2023-04-07,76.62942687285313,79.51633
4,2023-04-04,4,2023-04-10,77.04772901277555,79.8609
4,2023-04-04,5,2023-04-11,77.37742912858275,80.07338
4,2023-04-04,6,2023-04-12,78.11277456271772,80.94396
4,2023-04-04,7,2023-04-13,77.8977156581672,80.968475
4,2023-04-04,8,2023-04-14,78.03909148830857,81.54303
4,2023-04-04,9,2023-04-17,78.68615970042003,81.15257
4,2023-04-04,10,2023-04-18,80.55680784322877,81.94632
4,2023-04-04,11,2023-04-19,79.84797417336021,82.0658
4,2023-04-04,12,2023-04-20,78.18575957047447,82.43023
4,2023-04-04,13,2023-04-21,77.85562739511457,82.23803
4,2023-04-04,14,2023-04-24,78.1091596390616,82.69076
4,2023-04-04,15,2023-04-25,78.45698211408585,83.048775
4,2023-04-04,16,2023-04-26,78.73085482910895,83.34954
4,2023-04-04,17,2023-04-27,80.10365538572096,83.33861
4,2023-04-04,18,2023-04-28,81.2775961900056,83.70134
4,2023-04-04,19,2023-05-01,81.43360524965344,84.15318
4,2023-04-04,20,2023-05-02,81.17620795909352,84.5846
5,2023-05-02,1,2023-05-03,81.04869151340135,80.58913
5,2023-05-02,2,2023-05-04,80.91667628230663,81.19868
5,2023-05-02,3,2023-05-05,80.92060161106664,81.75673
5,2023-05-02,4,2023-05-08,79.58213804033971,81.967
5,2023-05-02,5,2023-05-09,79.35936113022639,81.60454
5,2023-05-02,6,2023-05-10,79.17622624967439,82.06661
5,2023-05-02,7,2023-05-11,79.23196807498172,82.66031
5,2023-05-02,8,2023-05-12,79.22455591569752,82.991035
5,2023-05-02,9,2023-05-15,80.1450994615354,82.31366
5,2023-05-02,10,2023-05-16,79.86271984928197,82.176094
5,2023-05-02,11,2023-05-17,79.67410945167082,82.466034
5,2023-05-02,12,2023-05-18,80.46579428218968,82.38802
5,2023-05-02,13,2023-05-19,80.47938004820304,82.20731
5,2023-05-02,14,2023-05-22,80.943267802806,81.56308
5,2023-05-02,15,2023-05-23,81.85795049021046,82.38308
5,2023-05-02,16,2023-05-24,82.52256769562942,82.13689
5,2023-05-02,17,2023-05-25,83.01207208293917,82.13509
5,2023-05-02,18,2023-05-26,83.05106846307184,81.45484
5,2023-05-02,19,2023-05-29,83.96390803022578,81.90675
5,2023-05-02,20,2023-05-30,84.36533371841769,82.06899
