step,origin,lead_time,date,actual,predicted
0,2022-12-13,1,2022-12-14,89.92182688923423,88.9443359375
0,2022-12-13,2,2022-12-15,90.44565783986201,88.94775390625
0,2022-12-13,3,2022-12-16,88.24514163066125,88.95340728759766
0,2022-12-13,4,2022-12-19,89.40340424391165,89.01709747314453
0,2022-12-13,5,2022-12-20,89.1932594757313,89.01337432861328
0,2022-12-13,6,2022-12-21,88.10650745630535,88.98599243164062
0,2022-12-13,7,2022-12-22,88.82851375763865,88.98599243164062
0,2022-12-13,8,2022-12-23,89.49894571858906,88.99164581298828
0,2022-12-13,9,2022-12-26,88.55204285485492,89.07421112060547
0,2022-12-13,10,2022-12-27,91.1089972931938,89.07421112060547
0,2022-12-13,11,2022-12-28,89.97202617140132,88.98599243164062
0,2022-12-13,12,2022-12-29,88.29963396194616,88.98599243164062
0,2022-12-13,13,2022-12-30,87.19387660325128,88.99164581298828
0,2022-12-13,14,2023-01-02,88.65077307646345,88.70354461669922
0,2022-12-13,15,2023-01-03,88.49860532102369,88.62540435791016
0,2022-12-13,16,2023-01-04,88.1377707332922,88.53718566894531
0,2022-12-13,17,2023-01-05,88.0743401927226,88.53718566894531
0,2022-12-13,18,2023-01-06,87.46396172720276,88.42037200927734
0,2022-12-13,19,2023-01-09,86.74747642233046,88.00261688232422
0,2022-12-13,20,2023-01-10,86.06764724411087,87.73164367675781
1,2023-01-10,1,2023-01-11,86.72469380439664,86.21115112304688
1,2023-01-10,2,2023-01-12,87.68207269401421,86.01099395751953
1,2023-01-10,3,2023-01-13,86.55189276274517,85.85655975341797
1,2023-01-10,4,2023-01-16,86.70421067128362,85.69223022460938
1,2023-01-10,5,2023-01-17,87.39390238531517,85.40264129638672
1,2023-01-10,6,2023-01-18,86.20227568208611,85.32546997070312
1,2023-01-10,7,2023-01-19,85.57874973950318,85.29740905761719
1,2023-01-10,8,2023-01-20,84.40894396516586,85.33741760253906
1,2023-01-10,9,2023-01-23,82.9757208340817,85.35173034667969
1,2023-01-10,10,2023-01-24,82.92529155118096,85.35173034667969
1,2023-01-10,11,2023-01-25,82.02715011560338,85.33741760253906
1,2023-01-10,12,2023-01-26,82.48695816623164,85.33741760253906
1,2023-01-10,13,2023-01-27,82.27733144420522,85.33741760253906
1,2023-01-10,14,2023-01-30,82.50132065725398,85.35173034667969
1,2023-01-10,15,2023-01-31,82.01243775684728,85.35173034667969
1,2023-01-10,16,2023-02-01,81.17336993842304,85.22285461425781
1,2023-01-10,17,2023-02-02,80.87166598924439,85.18445587158203
1,2023-01-10,18,2023-02-03,80.64920613379171,85.18445587158203
1,2023-01-10,19,2023-02-06,79.71999754905485,85.19876861572266
1,2023-01-10,20,2023-02-07,79.91790881530609,85.19876861572266
2,2023-02-07,1,2023-02-08,80.43105997516072,80.19189453125
2,2023-02-07,2,2023-02-09,80.35152296477206,80.32513427734375
2,2023-02-07,3,2023-02-10,81.82381204349556,80.19189453125
2,2023-02-07,4,2023-02-13,80.94729200891739,80.21048736572266
2,2023-02-07,5,2023-02-14,81.22133851243684,80.21048736572266
2,2023-02-07,6,2023-02-15,80.56430115385803,80.22198486328125
2,2023-02-07,7,2023-02-16,80.549496083197,80.27713775634766
2,2023-02-07,8,2023-02-17,79.46960360952495,80.22198486328125
2,2023-02-07,9,2023-02-20,80.33490002071345,80.64439392089844
2,2023-02-07,10,2023-02-21,80.26183456551614,81.29182434082031
