step,origin,lead_time,date,actual,predicted
0,2022-12-13,1,2022-12-14,89.92182688923423,89.92416
0,2022-12-13,2,2022-12-15,90.44565783986201,90.36958
0,2022-12-13,3,2022-12-16,88.24514163066125,90.70126
0,2022-12-13,4,2022-12-19,89.40340424391165,91.03951
0,2022-12-13,5,2022-12-20,89.1932594757313,91.34943
0,2022-12-13,6,2022-12-21,88.10650745630535,91.68401
0,2022-12-13,7,2022-12-22,88.82851375763865,92.0396
0,2022-12-13,8,2022-12-23,89.49894571858906,92.30602
0,2022-12-13,9,2022-12-26,88.55204285485492,92.50888
0,2022-12-13,10,2022-12-27,91.1089972931938,92.67908
0,2022-12-13,11,2022-12-28,89.97202617140132,92.83731
0,2022-12-13,12,2022-12-29,88.29963396194616,93.00846
0,2022-12-13,13,2022-12-30,87.19387660325128,93.1865
0,2022-12-13,14,2023-01-02,88.65077307646345,93.282715
0,2022-12-13,15,2023-01-03,88.49860532102369,93.39711
0,2022-12-13,16,2023-01-04,88.1377707332922,93.45313
0,2022-12-13,17,2023-01-05,88.0743401927226,93.53988
0,2022-12-13,18,2023-01-06,87.46396172720276,93.576004
0,2022-12-13,19,2023-01-09,86.74747642233046,93.57647
0,2022-12-13,20,2023-01-10,86.06764724411087,93.50604
1,2023-01-10,1,2023-01-11,86.72469380439664,87.31279
1,2023-01-10,2,2023-01-12,87.68207269401421,87.76704
1,2023-01-10,3,2023-01-13,86.55189276274517,88.28339
1,2023-01-10,4,2023-01-16,86.70421067128362,88.85812
1,2023-01-10,5,2023-01-17,87.39390238531517,89.46795
1,2023-01-10,6,2023-01-18,86.20227568208611,90.10268
1,2023-01-10,7,2023-01-19,85.57874973950318,90.81326
1,2023-01-10,8,2023-01-20,84.40894396516586,91.48987
1,2023-01-10,9,2023-01-23,82.9757208340817,92.16991
1,2023-01-10,10,2023-01-24,82.92529155118096,92.85466
1,2023-01-10,11,2023-01-25,82.02715011560338,93.590675
1,2023-01-10,12,2023-01-26,82.48695816623164,94.18028
1,2023-01-10,13,2023-01-27,82.27733144420522,94.79393
1,2023-01-10,14,2023-01-30,82.50132065725398,95.294586
1,2023-01-10,15,2023-01-31,82.01243775684728,95.81977
1,2023-01-10,16,2023-02-01,81.17336993842304,96.350136
1,2023-01-10,17,2023-02-02,80.87166598924439,96.83854
1,2023-01-10,18,2023-02-03,80.64920613379171,97.30697
1,2023-01-10,19,2023-02-06,79.71999754905485,97.7126
1,2023-01-10,20,2023-02-07,79.91790881530609,98.11574
2,2023-02-07,1,2023-02-08,80.43105997516072,80.893936
2,2023-02-07,2,2023-02-09,80.35152296477206,81.30954
2,2023-02-07,3,2023-02-10,81.82381204349556,81.738846
2,2023-02-07,4,2023-02-13,80.94729200891739,82.154305
2,2023-02-07,5,2023-02-14,81.22133851243684,82.56153
2,2023-02-07,6,2023-02-15,80.56430115385803,82.99187
2,2023-02-07,7,2023-02-16,80.549496083197,83.33443
2,2023-02-07,8,2023-02-17,79.46960360952495,83.74944
2,2023-02-07,9,2023-02-20,80.33490002071345,84.153435
2,2023-02-07,10,2023-02-21,80.26183456551614,84.523415
2,2023-02-07,11,2023-02-22,81.20635589553726,84.98299
2,2023-02-07,12,2023-02-23,79.69451951947605,85.4314
2,2023-02-07,13,2023-02-24,78.95786010537117,85.95526
2,2023-02-07,14,2023-02-27,77.82535442840762,86.51375
2,2023-02-07,15,2023-02-28,77.05727673938262,87.08437
2,2023-02-07,16,2023-03-01,76.13292548799751,87.70085
2,2023-02-07,17,2023-03-02,75.78561650224196,88.34644
2,2023-02-07,18,2023-03-03,75.54714161180702,89.06073
2,2023-02-07,19,2023-03-06,75.29102225931815,89.87045
2,2023-02-07,20,2023-03-07,74.52699488110835,90.65152
3,2023-03-07,1,2023-03-08,74.51306868756866,77.00003
3,2023-03-07,2,2023-03-09,75.19498821850759,77.42112
3,2023-03-07,3,2023-03-10,74.10715623379964,77.8754
3,2023-03-07,4,2023-03-13,73.9310917803664,78.20764
3,2023-03-07,5,2023-03-14,73.68911344357987,78.468956
3,2023-03-07,6,2023-03-15,73.99902594219209,78.68591
3,2023-03-07,7,2023-03-16,73.7865865566298,78.85072
3,2023-03-07,8,2023-03-17,73.63257366169188,78.98948
3,2023-03-07,9,2023-03-20,72.51370829574452,79.12833
3,2023-03-07,10,2023-03-21,72.41854041612677,79.21878
3,2023-03-07,11,2023-03-22,71.39097419162324,79.31521
3,2023-03-07,12,2023-03-23,71.81245083735587,79.39868
3,2023-03-07,13,2023-03-24,71.62669395334416,79.47273
3,2023-03-07,14,2023-03-27,71.59591037582926,79.54157
3,2023-03-07,15,2023-03-28,70.64615053640324,79.59188
3,2023-03-07,16,2023-03-29,71.40355755998148,79.66623
3,2023-03-07,17,2023-03-30,72.06185568077447,79.737854
3,2023-03-07,18,2023-03-31,72.90178361166465,79.80792
3,2023-03-07,19,2023-04-03,75.12004746314618,79.87285
3,2023-03-07,20,2023-04-04,75.07090242097223,79.92972
4,2023-04-04,1,2023-04-05,76.29016773235695,74.935486
4,2023-04-04,2,2023-04-06,76.19465088903983,75.140396
4,2023-04-04,3,2023-04-07,76.62942687285313,75.30746
4,2023-04-04,4,2023-04-10,77.04772901277555,75.52208
4,2023-04-04,5,2023-04-11,77.37742912858275,75.75308
4,2023-04-04,6,2023-04-12,78.11277456271772,76.017296
4,2023-04-04,7,2023-04-13,77.8977156581672,76.28699
4,2023-04-04,8,2023-04-14,78.03909148830857,76.57185
4,2023-04-04,9,2023-04-17,78.68615970042003,76.86816
4,2023-04-04,10,2023-04-18,80.55680784322877,77.168526
